Survived,Age,Fare,Pclass,Sex,Embarked,FamilyType,Title
1,27,7.925,3,female,S,Alone,Miss
0,42,27.0,2,male,S,Medium,Mr
0,30,10.5,2,male,S,Alone,Mr
1,16,8.05,3,male,S,Alone,Mr
0,27,13.0,2,male,S,Alone,Mr
0,51,8.05,3,male,S,Alone,Mr
0,29,7.8958,3,male,S,Alone,Mr
0,22,9.35,3,male,S,Alone,Mr
1,19,10.5,2,male,S,Alone,Mr
0,20,7.25,3,male,S,Alone,Mr
0,18,13.0,2,male,S,Alone,Mr
0,29,25.4667,3,female,S,Large,Miss
0,29,7.775,3,male,S,Alone,Mr
0,59,13.5,2,male,S,Alone,Mr
1,5,31.3875,3,female,S,Large,Miss
0,24,10.5,2,male,S,Alone,Mr
0,29,7.55,3,female,S,Alone,Miss
0,44,26.0,2,male,S,Medium,Mr
1,8,26.25,2,female,S,Medium,Miss
0,19,10.5,2,male,S,Alone,Mr
0,33,12.275,2,male,S,Alone,Mr
0,29,14.4542,3,female,C,Medium,Miss
1,29,15.5,3,female,Q,Medium,Miss
0,29,10.5,2,male,S,Alone,Mr
0,22,7.125,3,male,S,Alone,Mr
0,30,7.225,3,male,C,Alone,Mr
0,25,7.775,3,female,S,Alone,Miss
1,24,14.5,2,female,S,Medium,Mrs
1,37,52.5542,1,male,S,Medium,Mr
0,54,26.0,2,male,S,Medium,Rare
0,29,7.25,3,male,S,Alone,Mr
0,29,10.4625,3,female,S,Medium,Mrs
0,62,26.55,1,male,S,Alone,Mr
0,30,16.1,3,male,S,Medium,Mr
0,41,20.2125,3,female,S,Medium,Mrs
1,29,15.2458,3,female,C,Medium,Mrs
1,50,26.0,2,female,S,Medium,Mrs
0,29,7.75,3,male,Q,Alone,Mr
1,3,31.3875,3,male,S,Large,Master
0,40,0.0,1,male,S,Alone,Mr
0,29,7.75,3,female,Q,Alone,Miss
0,36,10.5,2,male,S,Alone,Mr
0,16,39.6875,3,male,S,Large,Mr
1,25,7.775,3,male,S,Medium,Mr
0,29,31.0,1,male,S,Alone,Mr
1,25,0.0,3,male,S,Alone,Mr
1,41,19.5,2,female,S,Medium,Mrs
0,37,29.7,1,male,C,Medium,Mr
1,29,7.75,3,female,Q,Alone,Miss
0,45,7.75,3,female,S,Alone,Miss
0,29,0.0,2,male,S,Alone,Mr
0,7,29.125,3,male,Q,Large,Master
1,35,20.25,3,female,S,Medium,Mrs
0,65,7.75,3,male,Q,Alone,Mr
0,28,7.8542,3,male,S,Alone,Mr
0,16,9.5,3,male,S,Alone,Mr
1,19,8.05,3,male,S,Alone,Mr
0,29,26.0,1,male,S,Alone,Mr
0,33,8.6625,3,male,C,Alone,Mr
1,30,9.5,3,male,S,Alone,Mr
0,22,7.8958,3,male,S,Alone,Mr
1,42,13.0,2,male,S,Alone,Mr
1,22,7.75,3,female,Q,Alone,Miss
0,36,12.875,2,male,C,Alone,Mr
0,24,8.85,3,female,S,Alone,Miss
0,24,7.8958,3,male,S,Alone,Mr
0,29,27.7208,1,male,C,Alone,Mr
0,23,7.2292,3,male,C,Alone,Mr
1,29,30.5,1,male,S,Alone,Mr
1,29,7.75,3,female,Q,Alone,Miss
1,29,23.25,3,male,Q,Medium,Mr
0,19,0.0,3,male,S,Alone,Mr
1,29,12.35,2,female,Q,Alone,Miss
0,29,8.05,3,male,S,Alone,Mr
0,30,24.0,2,male,C,Medium,Mr
1,30,56.9292,1,female,C,Alone,Miss
0,26,26.0,2,female,S,Medium,Mrs
0,28,7.8958,3,male,S,Alone,Mr
0,43,26.25,2,male,S,Medium,Mr
1,26,7.8542,3,female,S,Alone,Miss
1,24,26.0,2,female,S,Medium,Mrs
0,54,14.0,2,male,S,Alone,Rare
0,22,7.25,3,male,S,Alone,Mr
0,27,7.8958,3,male,S,Alone,Mr
1,30,12.35,2,female,Q,Alone,Miss
1,22,29.0,2,female,S,Medium,Mrs
0,61,6.2375,3,male,S,Alone,Mr
1,36,13.0,2,female,S,Alone,Mrs
1,31,20.525,3,female,S,Medium,Mrs
1,16,57.9792,1,female,C,Medium,Miss
1,29,23.25,3,female,Q,Medium,Miss
0,45,28.5,1,male,S,Alone,Mr
0,16,18.0,3,male,S,Medium,Mr
0,29,7.8958,3,male,S,Alone,Mr
1,45,8.05,3,male,S,Alone,Mr
0,45,35.5,1,male,S,Alone,Mr
1,2,26.0,2,male,S,Medium,Master
0,28,13.0,2,male,S,Alone,Mr
0,25,13.0,2,male,S,Alone,Mr
0,36,13.0,2,male,S,Alone,Mr
1,24,13.0,2,female,S,Alone,Miss
1,40,13.0,2,female,S,Alone,Miss
1,29,16.1,3,female,S,Medium,Mrs
1,3,15.9,3,male,S,Medium,Master
0,42,8.6625,3,male,S,Alone,Mr
0,23,9.225,3,male,S,Alone,Mr
0,29,35.0,1,male,S,Alone,Mr
0,15,7.2292,3,male,C,Medium,Mr
0,25,17.8,3,male,S,Medium,Mr
0,29,7.225,3,male,C,Alone,Mr
0,28,9.5,3,male,S,Alone,Mr
1,22,55.0,1,female,S,Medium,Miss
0,38,13.0,2,female,S,Alone,Miss
1,29,7.8792,3,female,Q,Alone,Miss
1,29,7.8792,3,female,Q,Alone,Miss
0,40,27.9,3,male,S,Large,Mr
0,29,27.7208,2,male,C,Medium,Mr
0,45,14.4542,3,female,C,Medium,Mrs
0,35,7.05,3,male,S,Alone,Mr
0,29,15.5,3,male,Q,Medium,Mr
0,30,7.25,3,male,S,Alone,Mr
1,29,7.2292,3,female,C,Alone,Mrs
1,29,7.75,3,female,Q,Alone,Miss
1,25,55.4417,1,male,C,Medium,Mr
0,18,6.4958,3,male,S,Medium,Mr
0,19,8.05,3,male,S,Alone,Mr
0,3,21.075,3,female,S,Large,Miss
1,22,7.25,3,female,S,Alone,Miss
0,20,4.0125,3,male,C,Alone,Mr
0,19,7.775,3,male,S,Alone,Mr
1,1,15.7417,3,female,C,Medium,Miss
0,32,7.925,3,male,S,Alone,Mr
1,35,52.0,1,female,S,Medium,Mrs
0,29,7.8958,3,male,S,Alone,Mr
0,1,46.9,3,male,S,Large,Master
1,36,13.0,2,female,S,Alone,Miss
0,29,7.7292,3,male,Q,Alone,Mr
1,17,12.0,2,female,C,Alone,Miss
1,21,7.7958,3,male,S,Alone,Mr
0,28,7.925,3,male,S,Medium,Mr
1,24,16.7,3,female,S,Medium,Mrs
0,22,7.7958,3,male,S,Alone,Mr
0,31,7.8542,3,female,S,Alone,Miss
0,46,26.0,2,male,S,Alone,Mr
0,23,10.5,2,male,S,Alone,Rare
1,28,12.65,2,female,S,Alone,Mrs
1,39,7.925,3,male,S,Alone,Mr
0,26,8.05,3,male,S,Alone,Mr
0,21,9.825,3,female,S,Medium,Miss
0,28,15.85,3,male,S,Medium,Mr
0,20,8.6625,3,female,S,Alone,Miss
0,34,21.0,2,male,S,Medium,Mr
0,51,7.75,3,male,S,Alone,Mr
1,3,18.75,2,male,S,Medium,Master
0,21,7.775,3,male,S,Alone,Mr
0,29,25.4667,3,female,S,Large,Miss
0,29,7.8958,3,male,S,Alone,Mr
0,29,6.8583,3,male,Q,Alone,Mr
0,29,0.0,2,male,S,Alone,Mr
1,44,7.925,3,male,S,Alone,Mr
0,29,8.05,3,female,S,Alone,Mrs
1,34,32.5,2,female,S,Medium,Mrs
1,18,13.0,2,female,S,Medium,Miss
0,30,13.0,2,male,S,Alone,Mr
0,10,24.15,3,female,S,Medium,Miss
0,29,7.8958,3,male,C,Alone,Mr
0,21,7.7333,3,male,Q,Alone,Mr
0,29,7.875,3,male,S,Alone,Mr
0,28,14.4,3,female,S,Medium,Mrs
0,18,20.2125,3,male,S,Medium,Mr
0,29,7.25,3,male,S,Alone,Mr
1,28,26.0,2,female,S,Medium,Mrs
1,19,26.0,2,female,S,Alone,Miss
0,29,7.75,3,male,Q,Alone,Mr
1,32,8.05,3,male,S,Alone,Mr
1,28,26.55,1,male,S,Alone,Mr
1,29,16.1,3,female,S,Medium,Mrs
1,42,26.0,2,female,S,Medium,Mrs
0,17,7.125,3,male,S,Alone,Mr
0,50,55.9,1,male,S,Medium,Mr
0,21,34.375,3,female,S,Large,Miss
1,24,18.75,2,female,S,Large,Mrs
0,31,10.5,2,male,S,Alone,Mr
1,45,26.25,2,female,S,Medium,Mrs
0,20,9.5,3,male,S,Alone,Mr
0,25,7.775,3,male,S,Medium,Mr
1,28,13.0,2,female,S,Alone,Miss
1,29,8.1125,3,male,S,Alone,Mr
1,13,19.5,2,female,S,Medium,Miss
1,34,26.55,1,male,S,Alone,Mr
1,5,19.2583,3,female,C,Medium,Miss
1,52,30.5,1,male,S,Alone,Rare
0,36,27.75,2,male,S,Medium,Mr
0,29,19.9667,3,male,S,Medium,Mr
0,30,27.75,1,male,C,Alone,Mr
0,29,8.05,3,male,S,Alone,Mr
1,29,7.8958,3,male,C,Alone,Mr
0,65,26.55,1,male,S,Alone,Mr
1,29,51.8625,1,female,S,Medium,Mrs
1,50,10.5,2,female,S,Alone,Miss
0,29,7.75,3,male,Q,Alone,Mr
1,48,26.55,1,male,S,Alone,Mr
0,34,8.05,3,male,S,Alone,Mr
0,47,38.5,1,male,S,Alone,Mr
0,48,13.0,2,male,S,Alone,Mr
0,29,8.05,3,male,S,Alone,Mr
0,38,7.05,3,male,S,Alone,Mr
0,29,0.0,2,male,S,Alone,Mr
0,56,26.55,1,male,S,Alone,Mr
0,29,7.725,3,male,Q,Alone,Mr
1,0,19.2583,3,female,C,Medium,Miss
0,29,7.25,3,male,S,Alone,Mr
0,38,8.6625,3,male,S,Alone,Mr
1,33,27.75,2,female,S,Medium,Mrs
1,23,13.7917,2,female,C,Alone,Mrs
0,22,9.8375,3,female,S,Alone,Miss
0,29,52.0,1,male,S,Alone,Mr
0,34,21.0,2,male,S,Medium,Mr
0,29,7.0458,3,male,S,Medium,Mr
0,22,7.5208,3,male,S,Alone,Mr
1,2,12.2875,3,female,S,Medium,Miss
0,9,46.9,3,male,S,Large,Master
0,29,0.0,2,male,S,Alone,Mr
0,50,8.05,3,male,S,Alone,Mr
1,63,9.5875,3,female,S,Alone,Mrs
0,29,25.4667,3,female,S,Large,Miss
0,58,29.7,1,male,C,Alone,Mr
0,30,8.05,3,male,S,Alone,Mr
1,9,15.9,3,male,S,Medium,Master
0,29,19.9667,3,male,S,Medium,Mr
0,21,7.25,3,male,S,Alone,Mr
0,55,30.5,1,male,S,Alone,Mr
0,21,8.05,3,male,S,Alone,Mr
0,29,14.4583,3,male,C,Alone,Mr
0,29,15.1,3,male,S,Alone,Mr
0,24,7.7958,3,male,S,Alone,Mr
0,17,8.6625,3,male,S,Alone,Mr
0,21,7.75,3,female,Q,Alone,Miss
0,29,7.6292,3,female,Q,Alone,Miss
0,37,9.5875,3,female,S,Alone,Miss
1,33,26.0,2,female,S,Medium,Mrs
1,29,26.55,1,male,S,Alone,Mr
0,28,22.525,3,male,S,Alone,Mr
1,26,56.4958,3,male,S,Alone,Mr
1,29,7.75,3,male,Q,Alone,Mr
0,29,8.05,3,male,S,Alone,Mr
1,36,26.2875,1,male,S,Alone,Mr
1,54,59.4,1,female,C,Medium,Mrs
0,24,7.4958,3,male,S,Alone,Mr
0,47,34.0208,1,male,S,Alone,Mr
1,34,10.5,2,female,S,Alone,Mrs
0,29,24.15,3,male,Q,Alone,Mr
1,36,26.0,2,female,S,Medium,Mrs
0,32,7.8958,3,male,S,Alone,Mr
0,22,7.8958,3,male,S,Alone,Mr
0,29,7.225,3,male,C,Alone,Mr
1,44,57.9792,1,female,C,Medium,Mrs
0,29,7.2292,3,male,C,Alone,Mr
0,40,7.75,3,male,Q,Alone,Mr
1,50,10.5,2,female,S,Alone,Miss
0,39,7.925,3,male,S,Alone,Mr
0,23,11.5,2,male,S,Medium,Mr
1,2,26.0,2,female,S,Medium,Miss
0,29,7.2292,3,male,C,Alone,Mr
0,17,7.2292,3,male,C,Medium,Mr
1,29,22.3583,3,female,C,Medium,Mrs
0,30,8.6625,3,female,S,Alone,Miss
1,7,26.25,2,female,S,Medium,Miss
0,45,26.55,1,male,S,Alone,Rare
0,29,14.5,3,male,S,Alone,Mr
1,22,49.5,1,female,C,Medium,Miss
0,9,31.275,3,female,S,Large,Miss
0,11,31.275,3,female,S,Large,Miss
1,32,26.0,2,male,S,Medium,Mr
0,64,26.0,1,male,S,Alone,Mr
1,19,26.0,2,female,S,Medium,Mrs
1,29,13.8625,2,male,C,Alone,Mr
0,33,20.525,3,male,S,Medium,Mr
1,8,36.75,2,male,S,Medium,Master
0,27,26.0,2,male,S,Alone,Mr
0,29,7.8292,3,male,Q,Alone,Mr
1,22,7.225,3,male,C,Alone,Mr
1,22,7.775,3,female,S,Alone,Miss
0,62,26.55,1,male,S,Alone,Mr
1,48,39.6,1,female,C,Medium,Rare
1,36,17.4,3,female,S,Medium,Mrs
0,29,7.75,3,male,Q,Alone,Mr
0,40,7.8958,3,male,S,Alone,Mr
0,28,13.5,2,male,S,Alone,Mr
0,29,8.05,3,male,S,Alone,Mr
0,29,8.05,3,female,S,Alone,Miss
0,24,24.15,3,male,S,Medium,Mr
0,19,7.8958,3,male,S,Alone,Mr
0,29,21.075,3,female,S,Large,Mrs
0,29,7.2292,3,male,C,Alone,Mr
1,32,7.8542,3,male,S,Alone,Mr
1,62,10.5,2,male,S,Alone,Mr
1,53,51.4792,1,female,S,Medium,Mrs
1,36,26.3875,1,male,S,Alone,Mr
1,29,7.75,3,female,Q,Alone,Miss
0,16,8.05,3,male,S,Alone,Mr
0,19,14.5,3,male,S,Alone,Mr
1,34,13.0,2,female,S,Alone,Miss
1,39,55.9,1,female,S,Medium,Mrs
0,29,14.4583,3,female,C,Medium,Mrs
1,32,7.925,3,male,S,Alone,Mr
1,25,30.0,2,female,S,Medium,Miss
0,54,26.0,2,male,S,Alone,Mr
0,36,40.125,1,male,C,Alone,Mr
0,29,8.7125,3,male,C,Alone,Mr
0,47,15.0,2,male,S,Alone,Mr
0,22,8.05,3,male,S,Alone,Mr
0,29,8.05,3,male,S,Alone,Mr
0,35,7.125,3,male,S,Alone,Mr
0,47,7.25,3,male,S,Alone,Mr
0,29,7.75,3,female,Q,Medium,Miss
0,37,26.0,2,male,S,Medium,Mr
0,36,24.15,3,male,S,Medium,Mr
1,29,33.0,2,female,S,Alone,Miss
0,49,0.0,3,male,S,Alone,Mr
0,29,7.225,3,male,C,Alone,Mr
1,49,56.9292,1,male,C,Medium,Rare
1,24,27.0,2,female,S,Medium,Mrs
0,29,7.8958,3,male,S,Alone,Mr
0,29,42.4,1,male,S,Alone,Mr
0,44,8.05,3,male,S,Alone,Mr
1,35,26.55,1,male,C,Alone,Mr
0,36,15.55,3,male,S,Medium,Mr
0,30,7.8958,3,male,S,Alone,Mr
1,27,30.5,1,male,S,Alone,Mr
1,22,41.5792,2,female,C,Medium,Mrs
0,39,31.275,3,female,S,Large,Mrs
0,29,7.05,3,male,S,Alone,Mr
1,29,15.5,3,female,Q,Medium,Miss
0,29,7.75,3,male,Q,Alone,Mr
0,35,8.05,3,male,S,Alone,Mr
1,24,65.0,2,female,S,Medium,Miss
0,34,14.4,3,male,S,Medium,Mr
0,26,16.1,3,female,S,Medium,Mrs
1,4,39.0,2,female,S,Medium,Miss
0,26,10.5,2,male,S,Alone,Mr
0,27,14.4542,3,male,C,Medium,Mr
1,42,52.5542,1,male,S,Medium,Mr
1,20,15.7417,3,male,C,Medium,Mr
0,21,7.8542,3,male,S,Alone,Mr
0,21,16.1,3,male,S,Alone,Mr
0,61,32.3208,1,male,S,Alone,Mr
0,57,12.35,2,male,Q,Alone,Rare
0,26,7.8958,3,male,S,Alone,Mr
0,29,7.7333,3,male,Q,Alone,Mr
0,51,7.0542,3,male,S,Alone,Mr
1,32,30.5,1,male,C,Alone,Rare
0,29,0.0,1,male,S,Alone,Mr
0,9,27.9,3,female,S,Large,Miss
1,28,13.0,2,female,S,Alone,Miss
0,32,7.925,3,male,S,Alone,Mr
0,31,26.25,2,male,S,Medium,Mr
0,41,39.6875,3,female,S,Large,Mrs
0,29,16.1,3,male,S,Medium,Mr
0,20,7.8542,3,male,S,Alone,Mr
0,2,27.9,3,female,S,Large,Miss
1,29,56.4958,3,male,S,Alone,Mr
1,0,19.2583,3,female,C,Medium,Miss
0,19,7.8958,3,male,S,Alone,Mr
1,56,35.5,1,male,C,Alone,Rare
0,29,7.55,3,male,S,Alone,Mr
1,23,7.55,3,female,S,Alone,Miss
0,29,7.8958,3,male,S,Alone,Mr
1,18,23.0,2,female,S,Medium,Miss
0,21,8.4333,3,male,S,Alone,Mr
1,29,7.8292,3,female,Q,Alone,Miss
0,18,6.75,3,female,Q,Alone,Miss
0,29,7.8958,3,male,S,Alone,Mr
0,32,15.5,3,female,Q,Medium,Mrs
0,23,13.0,2,male,S,Alone,Mr
0,40,7.225,3,male,C,Alone,Mr
0,47,25.5875,1,male,S,Alone,Mr
0,36,7.4958,3,male,S,Alone,Mr
1,20,7.925,3,male,S,Medium,Mr
0,25,13.0,2,male,S,Alone,Mr
0,29,7.775,3,male,S,Alone,Mr
0,43,8.05,3,male,S,Alone,Mr
1,29,52.0,1,female,S,Medium,Mrs
1,40,39.0,2,female,S,Medium,Mrs
0,31,52.0,1,male,S,Medium,Mr
1,31,13.0,2,male,S,Alone,Mr
0,29,0.0,2,male,S,Alone,Mr
0,18,7.775,3,male,S,Alone,Mr
0,24,8.05,3,male,S,Alone,Mr
1,18,9.8417,3,female,S,Alone,Miss
0,43,46.9,3,female,S,Large,Mrs
0,29,8.1375,3,female,Q,Alone,Miss
0,20,9.225,3,male,S,Alone,Mr
0,14,46.9,3,male,S,Large,Mr
0,60,39.0,2,male,S,Medium,Mr
0,25,41.5792,2,male,C,Medium,Mr
0,14,39.6875,3,male,S,Large,Mr
0,19,10.1708,3,male,S,Alone,Mr
0,18,7.7958,3,male,S,Alone,Mr
1,31,57.0,1,male,S,Medium,Mr
1,4,13.4167,3,female,C,Medium,Miss
1,29,56.4958,3,male,S,Alone,Mr
0,25,7.225,3,male,C,Alone,Mr
0,60,26.55,1,male,S,Alone,Rare
0,52,13.5,2,male,S,Alone,Mr
0,44,8.05,3,male,S,Alone,Mr
1,29,7.7333,3,female,Q,Alone,Miss
0,42,7.65,3,male,S,Alone,Mr
1,35,26.2875,1,male,S,Alone,Mr
0,18,14.4542,3,female,C,Medium,Miss
0,25,7.7417,3,male,Q,Alone,Mr
0,26,7.8542,3,male,S,Medium,Mr
0,39,26.0,2,male,S,Alone,Mr
1,45,13.5,2,female,S,Alone,Mrs
1,42,26.2875,1,male,S,Alone,Mr
1,29,15.2458,3,male,C,Medium,Master
1,24,49.5042,1,female,C,Alone,Miss
0,29,26.55,1,male,S,Alone,Mr
1,48,52.0,1,male,S,Medium,Mr
0,29,9.4833,3,male,S,Alone,Mr
0,52,13.0,2,male,S,Alone,Mr
0,19,7.65,3,male,S,Alone,Mr
1,27,10.5,2,female,S,Alone,Miss
0,29,15.5,3,male,Q,Alone,Mr
0,33,7.775,3,male,S,Alone,Mr
1,6,33.0,2,female,S,Medium,Miss
0,17,7.0542,3,male,S,Medium,Mr
